gene_id,gene_name,mcf7_sicbx2_1,mcf7_sicbx2_2,mcf7_sicbx2_3,mcf7_siscr_1,mcf7_siscr_2,mcf7_siscr_3
ENSG00000163531.15,NFASC,0.77867446,1.303790384,1.812982619,0.6735926,0.35096001,0.5304206
ENSG00000163536.12,SERPINI1,1.0886568,0.9066487,1.011754,0.2512348,0.3859614,0.1088
ENSG00000163576.18,EFHB,5.1178704,4.7039696,3.7815106,0.5969114,1.5044882,1.3145922
ENSG00000163584.18,RPL22L1,220.20134,199.6657,161.20772,74.1544,73.93526,95.22851
ENSG00000163617.11,CCDC191,4.947424,5.6810607,4.1448677,0.9356279,1.1476933,2.2461123
ENSG00000163629.13,PTPN13,31.84274326,40.29156823,25.16311189,22.064539,14.30622401,14.1518696
ENSG00000163633.12,C4orf36,4.365821,5.89381,3.949654,1.543924,1.365579,1.1051156
ENSG00000163644.15,PPM1K,9.3434206,7.792325717,12.1997333,4.7933004,3.0077271,6.800879
ENSG00000163689.20,C3orf67,2.408867,3.922362,2.4982412,0.8635233,1.4097132,1.3582619
ENSG00000163702.20,IL17RC,27.850827,31.2827803,49.11400908,19.75192672,17.2053795,19.3673359
ENSG00000163703.17,CRELD1,17.864843,21.655799,28.168916,12.51624954,12.991682,12.730195
ENSG00000163704.12,PRRT3,36.57952,37.65335,37.18315,9.73115,11.692216,9.207026
ENSG00000163794.6,UCN,5.60296,7.1599,6.75855,1.25681,0.674864,2.01388
ENSG00000163818.17,LZTFL1,18.4225706,17.2511088,16.4438652,3.3469217,3.761924,3.001427
ENSG00000163867.17,ZMYM6,8.407315,6.7715016,8.534268,6.084651,3.561882,3.616901
ENSG00000163888.4,CAMK2N2,17.9252,17.4072,13.4186,6.23426,7.40124,5.37874
ENSG00000163898.10,LIPH,9.247024,14.216901,4.449785,1.602238,2.638152,1.063331
ENSG00000163945.16,UVSSA,11.595218,10.889083,14.565259,3.4940771,4.503701445,4.4386085
ENSG00000163946.13,TASOR,29.859117,28.357709,25.837943,15.742347,12.085186,14.357942
ENSG00000164008.16,C1orf50,7.336785,8.68016,5.698432,2.255917,2.27319,3.830126
ENSG00000164023.14,SGMS2,11.070174,11.310052,9.004347,4.010494,3.298975,2.188704
ENSG00000164062.13,APEH,94.9370745,117.436864,101.216255,45.097212,34.779246,40.416049
ENSG00000164066.13,INTU,2.872108,2.921186,4.819099,1.113703,0.920384,1.57197879
ENSG00000164081.12,TEX264,49.662745,55.588999,66.104158,29.160312,34.658275,33.3034464
ENSG00000164088.18,PPM1M,2.702705,3.589517,4.051444,0.93835,1.730657,1.988081
ENSG00000164100.9,NDST3,0.3858347,0.39579651,0.172993,0.021781,0.0207883,0.0368354
ENSG00000164128.7,NPY1R,129.433566,97.526019,52.703675,16.516389,14.076831,9.090082
ENSG00000164142.16,FAM160A1,5.17497,5.707359,5.645254,3.795443439,1.6520578,3.088844
ENSG00000164252.13,AGGF1,22.1616,23.694641,17.926882,10.3069,9.182084,9.87184
ENSG00000164347.18,GFM2,26.475771,25.46196,24.0800013,13.7671391,14.124072,14.179622
